page	entry	sub_id	is_head	score	status	scan	text_position	match_rel_start	match_rel_end	candidate_entries	detected_header_entry	reviewed	review_note	ocr_last_lines	xml_sublemma_preview
113	769	10800769-1	0	91.89	ok	H4 6481 (8,1_0183.jpg	starts-here	0.000	0.481	768|769|770		0		sem dioc.: de can. et preb. eccl. s. Petri Northinen. Magunt. dioc. (3	de can. et preb. eccl. s. Petri Northinen. Magunt. dioc. 3 m. arg. vac. p. o. Ciriaci de Monte 12. mai. 1461 S 539 285rs .
114	775	10800775-2	0	99.12	ok	H4 6481 (8,1_0184.jpg	starts-here	0.000	0.269	774|775|776		0		~ Perp. vic. in eccl. b. Marie Roz- stokcen. Zwerin. dioc. qui olim	perp. vic. in eccl. b. Marie Rozstokcen. Zwerin. dioc. qui olim par. eccl. in Stenenhagen d. dioc. obtinens al. par. eccl. in Rakow Camin. dioc. assec. fuit et p. 24 dies ultra mensem detin. : abol. inhabil. 13. nov. 1458 L 543 122rs .
115	781	10800781-1	0	94.44	ok	H4 6481 (8,1_0185.jpg	continues	0.187	0.308	780|781|782		0		ster cler. Eistet. dioc. procur. eius) is)	de adm. resign. Johannis Krulen presb. p. Sebastianum Hoffmaister cler. Eistet. dioc. procur. eius c. reserv. pens. ann. 25 fl. renen. et prov. sibi de par. eccl. b. Marie virg. in Kleinlankhem Herbip. dioc. 10 m. arg. , n. o. alt. s. Johannis in par. eccl. s. Andree in Weysenburg Eistet. dioc. 6 m. 22. nov. 1463 S 569 91r , L 592 167vs .
116	787	10800787-1	0	84.00	ok	H4 6481 (8,1_0186.jpg	ends-here	0.755	0.991	786|787|788		0		(4 m. arg.) 10. iul. 59 § 520 46".	de m. priv. Detmarum Lippner et prov. sibi de par. eccl. in Wardeslau Monast. dioc. 4 m. arg. 10. iul. 1459 S 520 46r .
117	800	10800800-1	0	100.00	ok	H4 6481 (8,1_0187.jpg	starts-here	0.061	0.389	799|800|801		0		rog. fam. n. descript. in assec. gr. expect. de uno b. Marie Halber-	motu pr. prerog. fam. n. descript. in assec. gr. expect. de uno b. Marie Halberstad. et al. ss. Petri et Andree Paderburn. eccl. can. c. reserv. preb. s. d. 24. nov. 58 sibi conc. 17. ian. 1460 L 554 123rs .
118	807	10800807-3	0	83.93	ok	H4 6481 (8,1_0188.jpg	starts-here	0.000	0.362	806|807|808		0		ian. 59 S 516 191° - abbrev. et in registro litt. ap. sen. script.: de lic.	abbrev. et in registro litt. ap. sen. script. : de lic. absentandi ad partes Alamanie ad 8 menses, fiat ad 6 menses 29. aug. 1459 S 521 288rs .
119	817	10800817-2	0	98.53	ok	H4 6481 (8,1_0189.jpg	continues	0.136	0.386	816|817|818		0		dioc., reus et possessor litig. pro la- boribus et propter concordiam 12	actor et Walterus de Rytbeck presb. d. dioc. , reus et possessor litig. pro laboribus et propter concordiam 12 fl. renen. aureos solv. : de conf. concordie et adm. cess. Cornelii et surrog. Waltero in perp. vicar. ad alt. s. Cecilie in eccl. s. Johannis Traiect. 4 m. arg. 13. iun. 1464 S 575 202rs .
120	819	10800819-3	0	100.00	ok	H4 6481 (8,1_0190.jpg	continues	0.812	0.864	818|819|820		0		dioc. in aep. Gneznen. et par. eccl. s. Marie Magdalene Poznan. in ep.	Rect. et univ. C. quib. ex testamento debetur census ann. 26 fl. hungaricalium puri auri sup. proventibus ville Trezebin Cracov. dioc. quem Mansbizinger heres de Trezebin pro 400 fl. vendidit mag. Paulo Paskonis de Pyotekonia bac. theol. et Jacobo can. Plocen. eius germano coram Steffano de Pezelank advoc. et 7 iuratis iuris theotunici supprimi[?] Mandeburgen. castri Cracov. villarum scoltetis p. quond. Wladislaum Polonie et Ungarie regem ad id deputatis rect. et universi doct. et mag. stud. C. ...
121	827	10800827-6	0	100.00	ok	H4 6481 (8,1_0191.jpg	continues	0.309	0.481	826|827|828		0		den.) Magunt. dioc. (4 (6) et 4 m. arg.) quos vac. p. o. Jo(h)annis	de nova prov. de can. et preb. ac decan. colleg. eccl. s. Bartholomei Francfurden. Franckforden., Francgforden. Magunt. dioc. 4 <6> et 4 m. arg. quos vac. p. o. Jo h annis Konigissteyn Konigestein acc. vig. gr. expect. < c. derog. statutis d. eccl. et cass. gr. expect. in casu pacifice assec. > 25. oct. 1462 S 562 222v , V 509 413v-415v , V 492 307r-308v .
122	834	10800834-3	0	89.36	ok	H4 6481 (8,1_0192.jpg	continues	0.270	0.402	833|834|835		0		coll. gr. expect. ad prep. etc. colleg. eccl, s. Cassii	de confic. litt. de perp. vicar. ut supra vac. p. o. in cur. Johannis de Monasterio Eyfflie c. express. n. o. gr. expect. ad coll. prep. etc. colleg. eccl. s. Cassii Bunnen. necnon abb. etc. mon. in Graetschapp o. s. Ben. Colon. dioc. ac iur. in perp. vicar. una in mon. monial. ad Ortum Virginis et al. in colleg. Mescheden. eccl. d. dioc. sub tit. s. Catherine simul 6 m. arg. 8. apr. 1461 S 538 267v .
123	846	10800846-1	0	90.91	ok	H4 6481 (8,1_0193.jpg	continues	0.443	0.679	845|846|847		0		quam vac. p. 0. Nicolai Katzenwag AR	de nova prov. de par. eccl. s. Petri in Bruwilr d. dioc. 6 m. arg. ad quam vac. p. o. Nicolai Katzenwag p. patron. laic. present. est 8. ian. 1461 S 535 226v .
124	857	10800857-1	0	67.74	ok	H4 6481 (8,1_0194.jpg	ends-here	0.810	1.000	856|857|858		0		€o 4. nov. 60 V Op. c. indulg. pro 507 261's.	lic. fund. alt. ss. Bartholomei, Cristofori, Sebastiani et Udalrici in par. eccl. s. Egidii d. op. c. indulg. pro eo 4. nov. 1460 V 507 261rs .
125	870	10800870-0	1	100.00	ok	H4 6481 (8,1_0195.jpg	ends-here	0.353	0.965	869|870|871		0		phorus) Schachner (Scachner, Shachner, Schachern, Schacne-	Cristoforus Cristoferus, Cristophorus Schachner Scachner, Shachner, Schachern, Schacneher
126	873	10800873-1	0	93.75	ok	H4 6481 (8,1_0196.jpg	continues	0.804	0.865	872|873|874		0		pass C. Basil. dioc.: ratione exempt.	Opid. op. S. C. Basil. dioc. : m. extin. mon. monial. s. Crucis d. op. o. s. Ben. p. Leonem II. ab iurisd. ordin. exempt. vac. p. o. Ursule olim ipsius abba. et erig. in d. mon. colleg. eccl. sub vocabulo s. Crucis c. decan. et 13 can. et preb. c. exempt. ad iurisd. ep. Basil. qui decan. pro exempt. 4 fl. adc. pro rosa aurea cam. ap. an. singulis persolvere teneantur et prov. Stefano Gutbroit presb. Argent. dioc. de d. decan. 12. ian. 62 V 484 149r-150v . Colleg. eccl. s. Crucis op. S. C. Basil. ...
127	881	10800881-2	0	100.00	ok	H4 6481 (8,1_0197.jpg	continues	0.493	0.728	880|881|882		0		uberior utendi pontific. insigniis in prioratibus eidem mon. subiec-	Abb. mon. s. Lucii e. m. C. o. Prem. in quo s. Lucii confess. qui rex fuit ac s. Emericiane virg. et martir. eiusdem sororis corpora requiescunt lic. uberior utendi pontific. insigniis in prioratibus eidem mon. subiectis et eccl. ac consecr. ornamenta necnon benedicendi 10. ian. 1463 V 508 257rs .
128	889	10800889-3	0	75.76	ok	H4 6481 (8,1_0198.jpg	ends-here	0.926	0.992	888|889|890		0		3) ian. 61S 535 206's., V 482 - oblig. (p.	de prov. si nulli de par. eccl. seu pastoria in Erlebach Magunt. dioc. 10 m. arg. ad quam vac. p. o. Hermanni Hube p. Johannem de Hatzstein Hatzsteim armig. d. dioc. present. fuit litig. contra Johannem Willich , Johannem Schelme et Johannem Quenlyn Quentin de Ortenberg clericos < Magunt. et Wormat. dioc. > p. al. laicos present. , n. o. maior. Magunt. ac b. Marie i. m. et s. Albani e. m. Magunt. eccl. can. et preb. simul 36 m. arg. quos obtin. ac gr. expect. c. privil. ad instar descript. et di ...
129	895	10800895-2	0	89.74	ok	H4 6481 (8,1_0199.jpg	continues	0.643	0.734	894|895|896		0		non par. eccl. de Jegen d. dioc. (24 et preb:	causarum in cur. procur. : de perp. s. c. capn. ad alt. b. Marie in par. eccl. de Erps Cameracen. dioc. 24 l. T. p. vac. p. o. Nicolai de Esbermde , n. o. capn. par. ecclesiarum de Haninis et de Rasegen d. dioc. ad b. Marie altaria 12 necnon custodiis par. ecclesiarum de Laken et de Merchten d. dioc. 15 necnon par. eccl. de Jegen d. dioc. 24 l. T. p. ac can. et preb. eccl. s. Walpurgis Arnhem. Traiect. dioc. 6 m. arg. que preterquam 2 capn. possidet 7. decb. 1458 S 510 114vs .
130	901	10800901-2	0	84.21	ok	H4 6481 (8,1_0200.jpg	continues	0.512	0.599	900|901|902		0		unum et reserv. Johanni Kniiff prebeccl:	necnon militia patrie et maiores ac consilium civit. Traiect. et Karolus com. de Zaerloes : m. conf. extin. litis et ordinationem p. maior. et s. Salvatoris ac s. Johannis et s. Marie Traiect. eccl. capit. fact. sup. confer. Johanni Foyt cler. Traiect. unum et reserv. Johanni Kniiff cler. Traiect. al. can. et preb. eccl. s. Petri Traiect. c. reserv. pens. ann. 40 fl. renen. Johanni Kniiff p. Johannem Foyt solvenda donec eosdem can. et preb. assec. fuerit 1. apr. 1460 V 503 35vss .
131	907	10800907-8	0	100.00	ok	H4 6481 (8,1_0201.jpg	continues	0.287	0.423	906|907|908		0		Tullen. dioc. abbrev., n. o. par. eccl. de Malancuria Meten. dioc.	m. confer. perp. s. c. capn. ad alt. b. Marie virg. in eccl. s. Gengulphi Tullen. 8 l. T. p. vac. p. contractum matrim. Petri Warmi cler. Tullen. dioc. abbrev. , n. o. par. eccl. de Malancuria Meten. dioc. 10 quam obtin. ac capel. s. Mauricii de Begnaaqua e. m. Meten. 8 l. litig. in cur. quam n. possidet ac gr. expect. de can. c. reserv. preb. eccl. s. Theobaldi Meten. et benef. ad coll. abba. etc. mon. s. Petri ad Moniales Meten. o. s. Ben. 3. decb. 1461 V 484 123r-124v .
132	912	10800912-1	0	77.78	ok	H4 6481 (8,1_0202.jpg	continues	0.129	0.388	911|912|913		0		preb. eccl. Meten. can. et (24 1.) quos vac.	de nova prov. de can. et preb. eccl. Meten. 24 l. quos vac. p. o. Hencquini acc. vig. gr. expect. , n. o. can. et preb. eccl. Virdunen. 24 l. 6. nov. 1462 S 556 9v .
133	917	10800917-3	0	90.00	ok	H4 6481 (8,1_0203.jpg	ends-here	0.180	0.980	916|917|918		0		percip. in absentia 20. iun. 63 S 5657199)"	de fruct. percip. in absentia 20. iun. 1463 S 565 159v .
134	920	10800920-8	0	98.36	ok	H4 6481 (8,1_0204.jpg	starts-here	0.058	0.199	919|920|921		0		preb. eccl. s. Petri Fritzlarien. Ma- gunt. dioc. (7) vac. p. o. Ludolphi	qui vig. gr. expect. can. et preb. eccl. s. Petri Fritzlarien. Magunt. dioc. 7 vac. p. o. Ludolphi vom Rode acc. : de surrog. ad iur. Conradi Mulenbach cler. qui etiam vig. gr. expect. d. can. et preb. acc. possessione n. subsecuta et apud sed. ap. constit. post premissa in eadem eccl. vicar. perp. vig. d. gr. assec. extitit et prov. sibi de can. et preb. ac cantor. d. eccl. 8 m. arg. vac. p. assec. decan. d. eccl. p. Johannem in Hebe olim cant. d. eccl. fact. 23. decb. 1462 S 558 295rs .
135	927	10800927-0	1	71.91	ok	H4 6481 (8,1_0205.jpg	ends-here	0.788	1.000	926|927|928		0		papa s. d. 24. iul. 62 conc. lic. perm.: de confic. litt. c. express.	Diepeldus D i epoldus Affelsteter cap. b. Marie Magdalene Marie virg. ville Laici Constant. dioc. et Johannes Radulphi quib. papa s. d. 24. iul. 62 conc. lic. perm.
136	930	10800930-13	0	84.85	ok	H4 6481 (8,1_0206.jpg	ends-here	0.562	0.906	929|930|931		0		ian. 60 OS 78 14. 60°, IE 443 34° IR	quitantia pro serv. 5000 fl. adc. p. m. soc. de Miraballis 14. ian. 1460 OS 78 60r , IE 443 34v , IE 444 34v .
137	931	10800931-10	0	100.00	ok	H4 6481 (8,1_0207.jpg	starts-here	0.040	0.447	930|931|932		0		sup. annat. benef. in eccl. hosp. s. Johannis bapt. prope mon. in Son-	oblig. sup. annat. benef. in eccl. hosp. s. Johannis bapt. prope mon. in Sonnemburg o. s. Ben. Brixin. dioc. 8 m. arg. vac. p. o. Ulrici Wonderlich 31. oct. 1463 A 14 198v .
138	936	10800936-1	0	100.00	ok	H4 6481 (8,1_0208.jpg	continues	0.481	0.730	935|936|937		0		abb. mon. s. Jacobi Scotorum e. m. Herbip. o. s. Ben. p. dec. eccl. Her-	m. evocandi abb. etc. mon. Ebracen. o. Cist. d. dioc. pot. cognoscendi contra inferentes in bonis eorundem molestias Ottoni abb. mon. s. Jacobi Scotorum e. m. Herbip. o. s. Ben. p. dec. eccl. Herbip. d. abb. etc. conservatorem commissa 11. nov. 1458 L 535 258v-260r .
139	949	10800949-6	0	100.00	ok	H4 6481 (8,1_0209.jpg	starts-here	0.000	0.479	948|949|950		0		in partibus Alamanie sed. ap. nunt.: recip. seu pro eo Johannes	in partibus Alamanie sed. ap. nunt. : recip. seu pro eo Johannes ad Tabula cap. suus 100 fl. adc. pro sua prov. 4. ian. 1464 M 838 5v .
140	957	10800957-8	0	94.64	ok	H4 6481 (8,1_0210.jpg	starts-here	0.000	0.277	956|957|958		0		140's. - in 24. sue et. an. constit.: de par. eccl. s. Catherine de Op-	in 24. sue et. an. constit. : de par. eccl. s. Catherine de Oppenheym Magunt. dioc. 6 m. arg. vacat. p. resign. Pauli Bischoff fam. pape qui eam vac. p. o. in cur. Johannis Schrum n. possidet 1. feb. 1463 S 558 245v .
141	961	10800961-2	0	89.09	ok	H4 6481 (8,1_0211.jpg	continues	0.346	0.455	960|961|962		0		fame, ny (sc, ins Mari¢e Traiect. (4) ac par. in Driel Traiect.	causarum in cur. not. : de nova prov. de can. et preb. eccl. s. Petri Traiect. 8 m. arg. p. vac. p. o. Johannis Lamberti al. Willebrordi Eugenii IV. cursoris ac Jo[hannis?] card. Rothomagen. fam. , n. o. benef. s. c. in s. Marie Traiect. 4 ac par. in Driel Traiect. dioc. 10 ac can. et preb. s. Egidii Wideburgen. Osnaburg. dioc. eccl. 3 ac in Osnaburg. una 3 et in s. Martini Minden. eccl. al. perp. s. c. vicar. 2 que obtin. necnon can. et preb. eccl. s. Plechelmi Traiect. dioc. 7 m. arg. quos n. ...
142	967	10800967-4	0	95.56	ok	H4 6481 (8,1_0212.jpg	ends-here	0.533	0.908	966|967|968		0		pro el. Magunt. se gerit ad eum 29. ian. 62 DC 29 -	mon. s. Jacobi extra Magunt. in cur. resid. : copie litt. Dietheri qui pro el. Magunt. se gerit ad eum 29. ian. 1462 DC 29 247v-250r .
143	978	10800978-2	0	56.82	ok	H4 6481 (8,1_0213.jpg	continues	0.351	0.444	977|978|979		0		conf, 7308 Sy sie 548B 77's. - de conf. assec. par.	Abb. etc. mon. E. o. s. Ben. Frising. dioc. quib. quond. Conradus ep. Frising. assign. par. eccl. in E li singen d. dioc. vig. perm. pro certis iuribus in par. eccl. Mosach , Tandorff et Newkirchen Neymkyrchen d. dioc. de conf. assec. par. eccl. in Wald August. dioc. ex perm. pro par. eccl. in Erling d. dioc. et eius fil. capel. s. Nicolai in Andex c. abb. etc. mon. in Andex fact. quod mon. p. Aelbertum [ com. ] palatinum Reni et ducem Bavarie ex d. capel. in mon. virorum erectum extitit 23. iun ...
144	984	10800984-1	0	83.33	ok	H4 6481 (8,1_0214.jpg	starts-here	0.000	0.148	983|984|985		0		minster: de nova Prov. de perp.	de nova prov. de perp. vicar. ad alt. s. Nicolai in eccl. ss. Petri et Michaelis Argent. 3 m. arg. vac. p. o. Andree Mangele 31. mai. 1459 S 510 246rs .
145	993	10800993-4	0	100.00	ok	H4 6481 (8,1_0215.jpg	starts-here	0.000	0.191	992|993|994		0		- rect. capel. loci de Eymatten Leod. dioc.: m. confer. can. et	rect. capel. loci de Eymatten Leod. dioc. : m. confer. can. et preb. eccl. s. Adalberti Aquen. d. dioc. 4 m. arg. vac. p. o. Johannis Ernst , n. o. quod predictam necnon de Pernavilla d. dioc. perp. s. c. capellas simul 2 m. arg. quas obtin. et gr. expect. ut supra quam irritam decern. 23. feb. 1462 L 581 60v-62v .
146	1000	10801000-2	0	82.35	ok	H4 6481 (8,1_0216.jpg	continues	0.726	0.775	999|1000|1001		0		Marthe in eccl. b. alt.) s. Marie Magda-	de prov. si neutri de perp. capn. < capel. s. c. > s. Georgii de Choppeyo e. m. op. Morvillen. Marvillen. Trever. dioc. 20 l. T. p. ad quam vac. p. o. Henrici Johardi present. est p. Nicolaum Jacobi presb. Trever. dioc. se gerentem pro procur. Hugonis Mathie rect. par. eccl. d. op. ad quem unac. priore prioratus eiusdem op. o. s. Ben. presentatio pertin. litig. contra Johannem Huardi Hyardi cler. d. dioc. p. < Johannem Bondardi > priorem d. prioratus present. , n. o. can. et preb. eccl. Virdunen ...
147	1005	10801005-0	1	100.00	ok	H4 6481 (8,1_0217.jpg	complete-on-page	0.000	1.000	1004|1005|1006	1005	0	correctly matched head of entry 1005	1005 Egidius Morsels (Marsels) cler. Leod. dioc., mag. in art.: de par.	Egidius Morsels Marsels cler. Leod. dioc. , mag. in art.
148	1012	10801012-3	0	88.57	ok	H4 6481 (8,1_0218.jpg	continues	0.177	0.226	1011|1012|1013		0		Sang. sui con- germani, n. o, s. Gorgonii	cler. Cameracen. dioc. , ducis Burgundie secr. : de nova prov. de decan. eccl. s. Petri Luthosen. d. dioc. 90 l. T. p. vac. p. o. Philippi de Silva consang. sui germani, n. o. s. Gorgonii Hugarden. Burgarden. 5 ac s. Livini Zierixen. Leod. et Traiect. dioc. eccl. can. et preb. 7 ac perp. s. c. benef. de Zellar nunc. in eccl. s. Rumoldi Mac h linien. 6 m. arg. que obtin. <necnon par. eccl. de Hasselt Cameracen. dioc. 7 quam obtin. et prov. de una in s. Brictii Tornacen. et al. in Cameracen. eccl. ...
149	1017	10801017-1	0	100.00	ok	H4 6481 (8,1_0219.jpg	ends-here	0.596	0.968	1016|1017|1018		0		mart. 60 <6. apr. seu 22. mart. 60) fact. Arm. 33.2 296°, Ind. Ced. 10	Eccl. : notitia de unione par. eccl. in Tollesten Toloson Eistet. dioc. 35 m. arg. mense episc. s. d. 24. mart. 60 < 6. apr. seu 22. mart. 60 > fact. Arm. 33.2 296r , Ind. Ced. 10 202r .
150	1026	10801026-0	1	100.00	ok	H4 6481 (8,1_0220.jpg	complete-on-page	0.000	1.000	1025|1026|1027	1026	0	correctly matched head of entry 1026	1026 Elizabeth Polsen: |. b. apr. 62 T 9	Elizabeth Polsen
151	1040	10801040-2	0	100.00	ok	H4 6481 (8,1_0221.jpg	continues	0.129	0.543	1039|1040|1041		0		archipresbiteri [aep.!] Colon. secr., rect. par. eccl. in Born Colon.	ex utr. de mil. gen. archipresbiteri [ aep. !] Colon. secr. , rect. par. eccl. in Born Colon. dioc. : de 2 incompat. ad vitam, fiat ad 7 an. 2. iul. 1461 S 541 202rs .
152	1046	10801046-3	0	91.43	ok	H4 6481 (8,1_0222.jpg	continues	0.263	0.363	1045|1046|1047		0		can. et preb. in eccl. s. Andree [Co- ale	cler. Colon. dioc. : prov. de benef. ad coll. prep. etc. eccl. s. Severini Colon. , n. o. decan. ut supra ac can. et preb. in eccl. s. Andree [ Colon. et] s. Suitberti in Insula imperiali ac person. in Heltzen et Goisdorp et prim. prec. Frederici R. I. ad certos can. et preb. simul 14 m. arg. datum Norimberge Bamberg. dioc. p. Bessarionem in Alamania legatum 16. mart. 1460 Arm. 35.134 37vs .
153	1056	10801056-0	1	100.00	ok	H4 6481 (8,1_0223.jpg	continues	0.521	0.876	1055|1056|1057		0		in cur. contra Fredericum Elgast cui ep. Herbip. (tunc el. nondum	H erasmus Hut t er cler. , rect. par. eccl. in Mulhusem Herbip. dioc. 70 fl. renen. sup. qua litig. in cur. contra Fredericum Elgast cui ep. Herbip. tunc el. nondum conf. eandem contulit
154	1066	10801066-1	0	100.00	ok	H4 6481 (8,1_0224.jpg	continues	0.251	0.276	1065|1066|1067		0		Abba. et Monial. mon. No-	Par. eccl. s. Andree op. E. Magunt. dioc. cuius Johannes de Steyna fam. pape rect. exist. : indulg. 27. sept. 60 V 503 336rs . Abb. etc. mon. Montis s. Petri op. E. Magunt. dioc. o. s. Ben. : de conserv. perp. , fiat ad 20 an. 20. oct. 61 S 545 202r . Abba. et monial. mon. Novioperis o. s. Aug. op. E. Magunt. dioc. 4 m. arg. : de commiss. incorp. par. eccl. ville Monsterihofen d. dioc. ad earum coll. pertin. 31. iul. 59 S 521 3r , s. d. I 328 125r . Dec. etc. eccl. b. Marie et Sacrifontis E. Mag ...
155	1076	10801076-1	0	93.94	ok	H4 6481 (8,1_0225.jpg	continues	0.381	0.474	1075|1076|1077		0		disp. sup. irreg. ex n. solut. sibi 1p)	liberatur de commun. serv. et de tribus min. serv. cam. ac fam. et off. sed. ap. debitis 100 fl. adc. ratione prom. ad d. mon. , term. iam diu elapso, c. disp. sup. irreg. ex n. solut. sibi contracta oblig. s. d. 10 iun. 56 fact. , 50 fl. adc. solutis p. m. Petri tit. s. Marci presb. card. asserentis Jacobum ep. tunc el. Sistaricen. de suis propriis pec. illos mutuasse 15. ian. 1459 V 469 339rs .
156	1087	10801087-2	0	100.00	ok	H4 6481 (8,1_0226.jpg	continues	0.146	0.364	1086|1087|1088		0		berg. nepos: de confic. litt. disp. de	subdiac. , el. et conf. Bamberg. nepos: de confic. litt. disp. de n. prom. ad 5 an. sibi conc. c. clausulis 'in altero benef. aut alibi resid. ' 25. sept. 1459 S 524 29rs .
157	1093	10801093-1	0	100.00	ok	H4 6481 (8,1_0227.jpg	continues	0.280	0.607	1092|1093|1094		0		hannis Magelsen, n. o. can. et preb. in eccl. Butsowen. Zwerin.	de perp. vicar. in eccl. Verden. 4 m. arg. vac. p. o. Johannis Magelsen , n. o. can. et preb. in eccl. Butsowen. Zwerin. dioc. 4 m. arg. litig. in cur. quos n. possidet 16. decb. 1459 S 523 101v .
158	1097	10801097-17	0	72.50	ok	H4 6481 (8,1_0228.jpg	starts-here	0.000	0.455	1096|1097|1098		0		de 2 maior. exten. disp. dign. ad tertium in-	de exten. disp. de 2 maior. dign. ad tertium incompat. , fiat de duobus 16. apr. 1461 S 538 104vs .
159	1102	10801102-5	0	100.00	ok	H4 6481 (8,1_0229.jpg	starts-here	0.075	0.390	1101|1102|1103		0		dioc. qui litig. contra Caspar de Reno cust. eccl. Basil. et Hartman-	cler. Paderburn. dioc. qui litig. contra Caspar de Reno cust. eccl. Basil. et Hartmannum de Eptingen cler. sup. custod. d. eccl. hodie eandem resign. : assign. pens. ann. 43 fl. renen. sup. fruct. 27. sept. 1459 L 554 9v-11v .
160	1102	10801102-18	0	87.72	ok	H4 6481 (8,1_0230.jpg	ends-here	0.424	1.000	1101|1102|1103		0		burn. p. manus suas 16. iun. 63 IE 452 101°, IE 453 100” - oblig. sup.	solv. annat. 21 fl. can. et preb. eccl. Paderburn. p. manus suas 16. iun. 1463 IE 452 101v , IE 453 100v .
161	1112	10801112-1	0	100.00	ok	H4 6481 (8,1_0231.jpg	starts-here	0.000	0.104	1111|1112|1113		0		Abb. etc. mon. E. o. s. Ben. Frising. dioc. ac Nicolaus	Abb. etc. mon. E. o. s. Ben. Frising. dioc. ac Nicolaus Halbritter prof. eiusdem mon. rei litig. in cur. contra Henricum Haldenperger presb. in cur. defunctum : de surrog. ad iur. Henrici et prov. Nicolao de perp. vicar. par. eccl. s. Michaelis in Staffelsee August. dioc. d. mon. unita et in illius iurisd. temporal. sita ad quam Nicolaus instit. fuit 4 m. arg. etiamsi vac. p. resign. Augustini Johannis Airinsmalcz in manibus [Johannis] card. s. Angeli fact. 24. oct. 1458 S 513 250vs .
162	1118	10801118-9	0	70.59	ok	H4 6481 (8,1_0232.jpg	continues	0.668	0.854	1117|1118|1119		0		ac illam ad 2 €xXcom. prov. fuit an Vel ultra citra ta-	de pastoria sive par. eccl. s. Kyliani op. Omstan. Magunt. dioc. 16 m. arg. vac. p. o. Theoderici Ebcache et ex eo quod Johannes Wilch illam acc. vig. litt. prim. prec. Friderici R. I. et de illa p. exec. excom. prov. fuit ac illam ad 2 an. vel ultra citra tamen 3 an. detin. 17. mart. 1464 S 572 284vs .
163	1128	10801128-1	0	100.00	ok	H4 6481 (8,1_0233.jpg	continues	0.409	0.561	1127|1128|1129		0		dioc. Jacobo Georgio quond. dom. Jacobi Castellani in Vallesono	Abb., prior etc. mon. Sancti Pauli V. o. s. Ben. Salzeburg. dioc. : de conf. 'si in evidentem' venditionem bonorum prope Spinebergam et Sanctum Danielem Aquileg. et Concordien. dioc. Jacobo Georgio quond. dom. Jacobi Castellani in Vallesono Concordien. dioc. filio? pro 1000 duc. auri Venetorum fact. inquisitione ex commiss. Sigismundi aep. Salzeburg. sed. ap. legati p. Thiboldum ep. Lavant. prehabita 8. decb. 1459 S 525 120rs .
164	1138	10801138-2	0	88.68	ok	H4 6481 (8,1_0234.jpg	starts-here	0.000	0.297	1137|1138|1139		0		524 228"ss. - de commiss. (in fa- vorem Garini de Haudrevilla col-	de commiss. in favorem Garini de Haudrevilla collect. hosp. Pontis s. Vincencii ut supra sup. solv. pec. in suprad. civit. et dioc. 29. nov. 1459 S 525 57vss ., V 502 356rss .
165	1144	10801144-3	0	100.00	ok	H4 6481 (8,1_0235.jpg	continues	0.296	0.430	1143|1144|1145		0		Riicx aut p. matrim. in Urbe p. eundem contractum sive p. o. Ni-	cler. Traiect. dioc. , licent. in iur. can. : de nova prov. de par. eccl. b. Marie in Biervliet d. dioc. 6 m. arg. de qua vac. p. o. in cur. Johannis Riicx aut p. matrim. in Urbe p. eundem contractum sive p. o. Nicolai Clabaert ante d. Johannis obitum infra duas dietas a cur. defuncti Alanus tit. s. Praxedis S. R. E. presb. card. in regno Francie usque Rhenum sed. ap. legatus de latere sibi prov. et quam Michael Sacci presb. d. dioc. p. 4 an. detin. 13. mart. 1460 S 527 240rs .
166	1148	10801148-10	0	89.16	ok	H4 6481 (8,1_0236.jpg	starts-here	0.000	0.196	1147|1148|1149		0		25915445. = de conf statutorum p. David ep. Traiect.	de conf. statutorum p. David ep. Traiect. fact. terras et bona eccles. in comitatu Zellandie ad contributionibus Schot vulg. nunc. nullatenus censenda fore libera et exempta 19. apr. 1463 S 562 289rs .
167	1155	10801155-4	0	100.00	ok	H4 6481 (8,1_0237.jpg	continues	0.581	0.782	1154|1155|1156		0		Magunt. fam. pape de committ. mag. Petro Servicii commissario	mag. art. quem terras Sigismundi olim ducis de Austria pertransiens mag. Nicolaus Fabri cap. pape n. absol. vult c. absens sit a cur. : supplic. Wernhero Mulhus can. s. Stephani Magunt. fam. pape de committ. mag. Petro Servicii commissario pape in partibus eccl. Magunt. , sola sign. 7. iun. 1464 S 574 213vs .
168	1168	10801168-0	1	100.00	ok	H4 6481 (8,1_0238.jpg	complete-on-page	0.000	1.000	1167|1168|1169	1168	0	correctly matched head of entry 1168	1168 Vincentius Rithem presb. Warm. dioc.: de nova prov. de par. eccl.	Vincentius Rithem presb. Warm. dioc.
169	1179	10801179-1	0	98.31	ok	H4 6481 (8,1_0239.jpg	continues	0.404	0.710	1178|1179|1180		0		rum de consilio marchionis Ba- den. et capit. d. eccl. decanatui	Dec. eccl. op. Pf. Spiren. dioc. : oblig. p. Johannem [Krydwis] sup. annat. fruct. applicandorum de consilio marchionis Baden. et capit. d. eccl. decanatui eiusdem, applicati fuerint 16. aug. 61 23. sept. 1461 A 13 8v .
