page	entry	sub_id	is_head	score	status	scan	text_position	match_rel_start	match_rel_end	candidate_entries	detected_header_entry	reviewed	review_note	ocr_last_lines	xml_sublemma_preview
432	2953	10802953-1	0	75.68	ok	H4 6481 (8,1_0502.jpg	starts-here	0.105	0.250	2952|2953|2954		0		Constant. Mulhain dioc. ad coll. abb. ete.	de nova prov. de par. eccl. in Mulhain Constant. dioc. ad coll. abb. etc. mon. Agie maior. o. s. Ben. d. dioc. pertin. 8 m. arg. vac. p. priv. Henrici Struß al. Lemli licent. in decr. , n. o. perp. s. c. vicar. ad alt. s. Mathie in eccl. Constant. 5 m. arg. quam possidet 30. apr. 1461 S 533 130rs .
433	2966	10802966-1	0	100.00	ok	H4 6481 (8,1_0503.jpg	continues	0.238	0.381	2965|2966|2967		0		Pirchemer prep. eccl. Haernden. Eistet. dioc. utr. iur. doct. Alberti	commiss. absol. ab inhabil. ex eo contracta quod Sigismundus Greuter armig. August. dioc. pater suus Thomam Pirchemer prep. eccl. Haernden. Eistet. dioc. utr. iur. doct. Alberti com. palatini Reni et Bavarie ducis oratorem captivavit et tamdiu captivum detin. donec sibi oblig. quod infra 2 an. Johanni tunc litt. stud. in univ. Viennen. insistenti de can. et preb. in aliqua Ratisbon. , August. , Frising. vel Patav. eccl. faceret prov. 12. decb. 1458 V 469 62rss .
434	2975	10802975-1	0	75.68	ok	H4 6481 (8,1_0504.jpg	continues	0.246	0.440	2974|2975|2976		0		vac. p. o. Hermanni arg.) quam ultimi rect.	de nova prov. de par. eccl. de Autgardis 4 m. arg. quam vac. p. o. Hermanni ultimi rect. acc. vig. gr. expect. in forma paup. sibi conc. et de disp. sup. def. et. 21. an. necnon def. nat. p. s. 5. apr. 1460 S 528 171vs .
435	2981	10802981-1	0	98.36	ok	H4 6481 (8,1_0505.jpg	continues	0.177	0.422	2980|2981|2982		0		capn. b. Agate ville de Kirczich d. dioc. (2 m. arg.) vac. p. 0. Simonis	de surrog. ad iur. amborum et de nova prov. de capn. b. Agate ville de Kirczich d. dioc. 2 m. arg. vac. p. o. Simonis Straken quam possidet, n. o. par. eccl. in Adelhoven necnon preb. in colleg. eccl. Prumen. Trever. dioc. simul 4 m. arg. quas obtin. 28. sept. 1458 S 512 149vs .
436	2993	10802993-1	0	87.50	ok	H4 6481 (8,1_0506.jpg	ends-here	0.917	0.993	2992|2993|2994		0		dioc. (2 m. arg.) 13. iul. 60 § 523 2274s:	de nova prov. de can. et preb. colleg. eccl. s. Johannis Constant. 24 fl. adc. vac. p. resign. in utilitatem d. Johannis procur. eius fact. Bertholdi de Howdorff presb. d. dioc. qui eosdem vac. p. o. Nicolai Matzli acc. vig. prim. prec. imper. possessione n. adepta, n. o. perp. s. c. capn. ad alt. XI milium virg. prope Ratolffsczell d. dioc. 4 et simplici s. c. benef. scolasticale nunc. in par. eccl. s. Magni de Sancto Gallo d. dioc. 2 m. arg. 13. iul. 1460 S 523 227vs .
437	3004	10803004-2	0	95.00	ok	H4 6481 (8,1_0507.jpg	starts-here	0.000	0.138	3003|3004|3005		0		91's. - litig. in cur. contra nonnul- los cler. et laic. in civit. Colon.	litig. in cur. contra nonnullos cler. et laic. in civit. Colon. commorantes bonorum suorum spoliatores, mercatoribus de Lagritis et de Baruncellis ac Petro de Lambertess is in 35 duc. 30 fl. renen. et 22 fl. adc. obligatus pro quib. pro Conrado de Horion ac Roberto de Monanies se fideiussorem constituit: de commiss. absol. se et Hermannum Bintreyn fideiussorem suum p. 8 menses et conc. dilationem ad solv. 13. nov. 1458 S 514 193rs .
438	3006	10803006-7	0	94.34	ok	H4 6481 (8,1_0508.jpg	continues	0.479	0.556	3005|3006|3007		0		bon. Veteriscapelle Ratis- prov. et c. quo disp. fuit de n.	qui vig. gr. expect. primo s. d. 24. nov. 58 de 2 benef. ad abb. in Cremsmunster s. Ben. et prep. s. Floriani ad Sanctum Florianum o. s. Aug. Patav. dioc. etc. mon. motu pr. et deinde prerog. fam. descript. sibi conc. assec. fuit par. eccl. s. Georgii in Pfarkirchen Patav. dioc. 40 fl. auri gr. expect. cass. et sibi etiam motu pr. de can. c. reserv. preb. eccl. b. Marie Veteriscapelle Ratisbon. prov. et c. quo disp. fuit de n. prom. ad presbit. ad 3 an. et ad subdiacon. ad 6 menses primo et dein ...
439	3014	10803014-1	0	79.41	ok	H4 6481 (8,1_0509.jpg	complete-on-page	0.000	1.000	3013|3014|3015		0		_fessiones ultimo supplicio tradita fuit: de absol. ab irreg. 27. apr. 64	de absol. ab irreg. 27. apr. 1464 S 573 132rs .
440	3022	10803022-2	0	70.33	ok	H4 6481 (8,1_0510.jpg	ends-here	0.717	1.000	3021|3022|3023		0		manibus ordin. 4. nov. 59 A 12 191" - et Jacobus Biraet qui ex	restit. bulle de absol. sup. contractu simonie sup. capel. s. Johannis Leod. quam dimisit in manibus ordin. 4. nov. 1459 A 12 191r .
441	3030	10803030-2	0	70.45	ok	H4 6481 (8,1_0511.jpg	starts-here	0.000	0.095	3029|3030|3031		0		2"s., 18. oct. 58 V 468 211"s. - de conf. statutum Wilhelmi ducis	de conf. statutum Wilhelmi ducis Saxonie sup. scandalis subortis inter se et Albertum marchionem Brandenburg. cui Eugenius IV. conf. iur. patron. et present. unam in prep. et duas personas in can. eccl. s. Gumperti op. Welespurg [Onolzpurg] Herbip. dioc. , exempt. cleri d. eccl. et op. posthabita et cass. litt. Eugenii IV. desup. 11. iul. 1461 S 542 16vss .
